day,ppl,amount
2021/12/27,582,513197
2021/12/28,566,470431
2021/12/29,522,530982
2021/12/30,570,968758
2021/12/31,631,732626
2022/1/1,797,586756
2022/1/2,971,654248
2022/1/3,784,471594
2022/1/4,825,428725
2022/1/5,847,447347
2022/1/6,818,442132
2022/1/7,714,535134
2022/1/8,771,562382
2022/1/9,796,483892
2022/1/10,624,501423
2022/1/11,553,448092
2022/1/12,543,503896
2022/1/13,628,346253
2022/1/14,641,475293
2022/1/15,686,553227
2022/1/16,764,885368
2022/1/17,637,799762
2022/1/18,635,666863
2022/1/19,659,444227
2022/1/20,180,68470
2021/2/26,1885,5211471
2021/2/27,4035,5077715
2021/2/28,4667,6224789
2021/3/1,2375,6240597
2021/3/2,1155,13340963
2021/3/3,1343,6918847
2021/3/4,1681,5563069
2021/3/5,2545,5860825
2021/3/6,3952,5300871
2021/3/7,3662,5288352
2021/3/8,2521,5914438
2021/3/9,1619,8183703
2021/3/10,1471,4025759
2021/3/11,1716,3780344
2021/3/12,2264,4171929
2021/3/13,3992,4219269
2021/3/14,4288,4588804
2021/3/15,2442,3826720
2021/3/16,1212,15201657
2021/3/17,1365,11361075
2021/3/18,1795,9119398
2021/3/19,2596,8207045
2021/3/20,4871,7083119
2021/3/21,5049,6425668
2021/3/22,2823,7935066
2021/3/23,2075,7138118
2021/3/24,1809,4719232
2021/3/25,1889,4007677
2021/3/26,2328,4182170
2021/3/27,4892,4947762
2021/3/28,5304,3881583
2021/3/29,2858,3927087
2021/3/30,1458,15461353
2021/3/31,1383,6837038
2021/4/1,1682,7475529
2021/4/2,2790,5817659
2021/4/3,5477,5477914
2021/4/4,5605,4654972
2021/4/5,3870,5426770
2021/4/6,2255,8099070
2021/4/7,1857,4669583
2021/4/8,1807,4076453
2021/4/9,2803,3679327
2021/4/10,3568,3931071
2021/4/11,3971,3715912
2021/4/12,2408,3626273
2021/4/13,1066,13286033
2021/4/14,1186,7173385
2021/4/15,1299,5861131
2021/4/16,1754,5420032
2021/4/17,4713,4288609
2021/4/18,5105,3724423
2021/4/19,2185,4696041
2021/4/20,1586,6430321
2021/4/21,1526,3810032
2021/4/22,1947,3509406
2021/4/23,1951,3791283
2021/4/24,4601,5500749
2021/4/25,4960,4214898
2021/4/26,3017,4513702
2021/4/27,1334,12176650
2021/4/28,1517,10742591
2021/4/29,1978,12430950
2021/4/30,2472,13568531
2021/5/1,4027,11080931
2021/5/2,5267,8192172
2021/5/3,3209,9736540
2021/5/4,1873,8618883
2021/5/5,1641,5450766
2021/5/6,1566,5513289
2021/5/7,2419,5152278
2021/5/8,4065,5122228
2021/5/9,5068,4544601
2021/5/10,2673,4880840
2021/5/11,1165,9805208
2021/5/12,1423,7251176
2021/5/13,1659,4900056
2021/5/14,2665,4947877
2021/5/15,5074,5033076
2021/5/16,5848,4039109
2021/5/17,2690,4425566
2021/5/18,1707,5534083
2021/5/19,1412,3519935
2021/5/20,1306,3454821
2021/5/21,2277,3543040
2021/5/22,5095,3889446
2021/5/23,5897,3260689
2021/5/24,4368,3636431
2021/5/25,2344,9670687
2021/5/26,1996,5743958
2021/5/27,1677,6608568
2021/5/28,2161,6348924
2021/5/29,5170,9182502
2021/5/30,6539,5203150
2021/5/31,3360,7280925
2021/6/1,1815,7152919
2021/6/2,1631,4375973
2021/6/3,1472,3551648
2021/6/4,2240,3291844
2021/6/5,5579,3485675
2021/6/6,5915,3347321
2021/6/7,3514,3357263
2021/6/8,1213,8487532
2021/6/9,1202,4649183
2021/6/10,976,4675320
2021/6/11,1705,4750748
2021/6/12,4303,3974416
2021/6/13,6984,3007002
2021/6/14,3901,4115827
2021/6/15,2065,5719233
2021/6/16,1454,2943420
2021/6/17,1653,3301034
2021/6/18,2466,3758609
2021/6/19,4671,3564281
2021/6/20,5197,3265907
2021/6/21,3337,3757821
2021/6/22,1728,8624587
2021/6/23,1583,6295248
2021/6/24,1602,5855192
2021/6/25,2618,8471793
2021/6/26,6058,5348893
2021/6/27,6920,6469766
2021/6/28,3478,5976618
2021/6/29,1888,6240979
2021/6/30,1666,4338128
2021/7/1,1708,3744489
2021/7/2,2740,3719199
2021/7/3,5718,3570007
2021/7/4,6429,2883071
2021/7/5,3333,2861046
2021/7/6,1595,9253032
2021/7/7,1559,5639272
2021/7/8,1642,5764076
2021/7/9,2148,5306927
2021/7/10,3879,4337201
2021/7/11,4984,3856011
2021/7/12,3754,4539102
2021/7/13,1940,8110879
2021/7/14,1425,4644678
2021/7/15,1393,4587608
2021/7/16,2362,4441767
2021/7/17,4879,4157562
2021/7/18,4961,3784761
2021/7/19,2103,5561169
2021/7/20,1246,8073099
2021/7/21,1129,6264676
2021/7/22,1050,5490801
2021/7/23,1116,5418842
2021/7/24,1219,5777346
2021/7/25,1310,3948291
2021/7/26,1065,8076966
2021/7/27,1080,5266615
2021/7/28,1080,2921769
2021/7/29,1045,2991160
2021/7/30,1028,3184906
2021/7/31,1242,3015676
2021/8/1,1063,2891880
2021/8/2,966,2683213
2021/8/3,839,8384047
2021/8/4,856,4997441
2021/8/5,906,3841060
2021/8/6,936,4433633
2021/8/7,1048,3411890
2021/8/8,1049,3292349
2021/8/9,955,3761988
2021/8/10,903,4061298
2021/8/11,839,2762033
2021/8/12,883,4022015
2021/8/13,809,3612052
2021/8/14,1073,3472747
2021/8/15,935,3334539
2021/8/16,816,4318870
2021/8/17,813,8550682
2021/8/18,825,5979219
2021/8/19,862,5040470
2021/8/20,743,5079543
2021/8/21,924,4502520
2021/8/22,970,4324328
2021/8/23,878,4913298
2021/8/24,881,6905207
2021/8/25,897,4483562
2021/8/26,908,2778710
2021/8/27,877,2879903
2021/8/28,931,1846848
2021/8/29,1023,1667449
2021/8/30,845,1746964
2021/8/31,684,7200945
2021/9/1,695,4201589
2021/9/2,676,3968038
2021/9/3,711,3718608
2021/9/4,984,3447196
2021/9/5,918,3326174
2021/9/6,679,3974638
2021/9/7,645,4398896
2021/9/8,666,2846570
2021/9/9,634,2409334
2021/9/10,635,2398831
2021/9/11,913,3749087
2021/9/12,817,2406862
2021/9/13,642,2282505
2021/9/14,627,8425828
2021/9/15,638,5659452
2021/9/16,624,5322818
2021/9/17,640,5079170
2021/9/18,809,5483185
2021/9/19,846,3960767
2021/9/20,598,5372984
2021/9/21,578,5548416
2021/9/22,594,2454456
2021/9/23,625,2030407
2021/9/24,567,2034114
2021/9/25,726,2598290
2021/9/26,716,1801171
2021/9/27,593,2064246
2021/9/28,365,7375949
2021/9/29,387,6122827
2021/9/30,390,4645707
2021/10/1,505,5291371
2021/10/2,775,3863241
2021/10/3,772,3509137
2021/10/4,580,4246337
2021/10/5,541,4483247
2021/10/6,584,2888126
2021/10/7,514,2536417
2021/10/8,586,2765285
2021/10/9,661,3398488
2021/10/10,668,2496597
2021/10/11,530,2574348
2021/10/12,499,5326048
2021/10/13,480,2974363
2021/10/14,521,2925258
2021/10/15,560,3244957
2021/10/16,905,3009540
2021/10/17,770,2246639
2021/10/18,585,2228198
2021/10/19,416,11160197
2021/10/20,507,6497435
2021/10/21,528,5146356
2021/10/22,568,5148182
2021/10/23,758,5099851
2021/10/24,698,4126626
2021/10/25,565,5877363
2021/10/26,572,4464649
2021/10/27,515,2139101
2021/10/28,542,2090137
2021/10/29,636,5594112
2021/10/30,748,3769822
2021/10/31,761,3505982
2021/11/1,591,4772672
2021/11/2,486,7820140
2021/11/3,434,6053881
2021/11/4,436,4005551
2021/11/5,434,4002804
2021/11/6,510,3222587
2021/11/7,546,3117474
2021/11/8,392,3454929
2021/11/9,387,3750581
2021/11/10,463,2447998
2021/11/11,420,2209764
2021/11/12,436,1987303
2021/11/13,526,1902926
2021/11/14,578,1856101
2021/11/15,463,1603105
2021/11/16,322,5826740
2021/11/17,332,3595896
2021/11/18,331,3408077
2021/11/19,372,4353670
2021/11/20,610,3938243
2021/11/21,508,3242888
2021/11/22,339,4111714
2021/11/23,318,3451882
2021/11/24,325,1760990
2021/11/25,355,1875022
2021/11/26,385,2148340
2021/11/27,670,4889428
2021/11/28,546,2333379
2021/11/29,437,2562664
2021/11/30,353,5558427
2021/12/1,329,3910154
2021/12/2,282,4002229
2021/12/3,272,3314563
2021/12/4,463,2990351
2021/12/5,505,2234744
2021/12/6,356,2709677
2021/12/7,325,4502276
2021/12/8,342,2341699
2021/12/9,373,2000418
2021/12/10,383,1848948
2021/12/11,533,1953510
2021/12/12,545,1810943
2021/12/13,397,1414429
2021/12/14,300,3228596
2021/12/15,377,2267372
2021/12/16,342,1737704
2021/12/17,386,1743936
2021/12/18,431,1985078
2021/12/19,464,1553463
2021/12/20,412,1746277
2021/12/21,457,8407243
2021/12/22,385,7916938
2021/12/23,401,4876676
2021/12/24,442,5190132
2021/12/25,667,4836783
